english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
"Court (this), Court (the)",,"(Immigration Court in general) Tribunal de lo migratorio; (the building) el Tribunal; (the courtroom) la sala, esta sala; (the Judge) yo, el/la juez",,"It would appear (RAE, entre otros) that a 'juzgado' refers to an adjudicatory body consisting of a single judicial officer who hears cases at the first-instance level. A 'tribunal' or a 'corte', however, generally refer to multi-judge panels, or at least, second-instance level adjudicatory bodies. Therefore, we should be referring to Immigration Court at least as a 'corte' or 'tribunal'. However, the EOIR is not, strictly speaking, a court; the IJs are not judges, after all. The EOIR is a body which conducts administrative hearings, and the bulk of the law by and through which it makes its decisions is administrative law. In fact, the EOIR is, in many ways, closest to what in some Hispanic countries (Uruguay, Mexico, Spain) is known as the Tribunal de lo Contencioso-Administrativo, which is a jurisdiction that in general hears cases de novo arising from disputes with the public institutions of the country. Now, the EOIR hears many cases on what you could consider a first instance basis, pursuant to the issuance of an NTA. This fits with the viewpoint of the contencioso-administrativo; the Respondent sought or is seeking admission to the country, in essence they were denied this service, and as a result there is a dispute which needs to be settled. There are, of course, many cases that the EOIR hears which are referred or transferred from USCIS, frequently with an initial denial from USCIS. This fits even more closely with the traditional profile of the contencioso-administrativo, in the sense that the individual requested a service from the public administration (asylum, adjustment of status, etc.), and this service was not provided to them -- or, the result of that service was not what they desired -- and now they seek a remedy through a body designed to hear such disputes. Based on this, the recommendation is that the EOIR be referred to not as a 'corte', but rather as a 'tribunal', in accordance with the widespread usage of this term to denote the contencioso-administrativo adjudicatory bodies in multiple countries.",,,
,,,,,,,
,,,,,,,
court docket ,,"lista de casos (del juez, de la sala)",,,,,
,,,,,,,
court record ,,"el acta, el expediente",,,,,
,,,,,,,
credibility,,credibilidad,,,,,
,,,,,,,
credible basis ,,fundamento creíble,,,,,
,,,,,,,
credible fear proceedings,,"diligencias, procedimiento de temor creíble",,,,,
,, ,,,,,
credible fear review,,revisión del temor creíble,,,"I know that we've been using 'temor creíble' forever, and that it's direct, makes ""a fair amount of sense"" in Spanish, etc. However, consider this sentence taken from one of Nestor Wagner's training materials: ""Gentlemen, the asylum officer has determined that you do not have a
credible fear returning to your home country."" If I rendered this as 'que no tienen un temor creíble de volver a su país de orígen', I feel like we're sliding into translat-ese, we're doing something between English and Spanish and it doesn't really make sense. It feels like what we're trying to express is more like 'un temor fundado', as in, 'fundado en la ley o la definición legal de temor, según las leyes de asilo y protección o amparo'.",,
,,,,,,,
crewman,,tripulante,,,,,
,,,,,,,
crime of moral turpitude / CIMT,,"Delito que implica la vileza, bajeza moral",,,,,
,,,,,,,
criminal,,delincuente,,,,,
,,,,,,,
criminal alien,,extranjero delincuente,,,,,
,,,,,,,
criminal offense ,,acto delictivo,,"This does not refer to a criminal history, or actual convictions, but rather to the commission of criminal acts. ",,,
,,,,,,,
,,,,,,,
criminal record,,antecedente(s) penal(es),,,,,
,,,,,,,
cross examination ,,contrainterrogatorio,,,,,
,,,,,,,
CSPA,,Ley de Protección de la Minoría de Edad,,"USCIS provides 'Ley de Protección del Estatus del Menor', which may imply that the minor has status, rather than referring to the age of the person, which is what the English intends.",,,
,,,,,,,
,,,,,,,
Cuban/Haitian Entrant,,"migrante, inmigrante cubano / haitiano",,"This is such an unfortunate term for our purposes. A generic translation is suggested. HHS says ""entrante"", unfortunately. https://www.acf.hhs.gov/directorio-oficina-de-reasentamiento-de-refugiados",,,
,,,,,,,
,,,,,,,
cumulative evidence ,,pruebas cumulativas,,,,,
,,,,,,,
curing of defects,,subsanación de defectos,,,,,
,,,,,,,
current/non-current,,"actual / no actual, vigente/no vigente",,current report = actual; current passport = vigente…,,,
,,,,,,,
,,,,,,,
custody redetermination hearing,,audienca para volver a determinar (las condiciones de) la custodia,,"This is always at least the second hearing or process determining custody conditions: ICE makes the initial custody determination. Hence, redetermination.",,,
,,,,,,,
,,,,,,,
cut-off date,,fecha límite,,,,,
,,,,,,,
DACA,,Acción Diferida para los Llegados en la Infancia ,,It's Wikipedia official.,,,
,,,,,,,
,,,,,,,
date of admission ,,fecha de admisión,,,,,
,,,,,,,
date of entry ,,fecha de entrada,,,,,
,,,,,,,
date of issuance ,,"fecha de emisión, expedición",,,,,
,,,,,,,
declaration under penalty of perjury ,,declaración so pena de perjurio,,,,,
,,,,,,,
decline to designate a country of removal,,"negarse a indicar, designar un país de expulsión",,,,,
,,,,,,,
deem claim to be abandoned ,,"considerar, estimar la solicitud desistida",,See 'asylum claim' and 'claim'.,,,
,,,,,,,
,,,,,,,
defect (that evidence suffers from the same defect),,defecto,,,,,
,,,,,,,
defendant (civil) ,,demandado,,,,,
,,,,,,,
defendant (criminal) ,,acusado,,,,,
,,,,,,,
defense exhibit,,elemento de prueba de la Defensa,,,,,
,, ,,,,,
defensive asylum process,,proceso de asilo defensivo,,,,,
,,,,,,,
defer to the Court ,,"le difiero a Su Señoría, lo dejo al juicio de Su Señoría",,,,,
,,,,,,,
deferral of removal under the Convention Against Torture ,,suspensión de la expulsión conforme al Convenio Contra la Tortura,,,,,
,,,,,,,
deferred action,,acción diferida,,,,,
,,,,,,,
deferred sentence,,"condena, pena aplazada",,,,,
,,,,,,,
denomination/sect,,"denominación, secta",,,,,
,,,,,,,
deny a request ,,denegar una petición,,,,,
,,,,,,,
Department of Labor (DOL),,Departamento del Trabajo,,Según www.usa.gov/espanol,,,
,,,,,,,
,,,,,,,
Department of State,,Departamento de Estado,,Según www.usa.gov/espanol,,,
,,,,,,,
,,,,,,,
departure under safeguards,,"Salida escoltada, bajo escolta",,"As per EOIR Interpreter's Conference discussion, 6-19-19",,,
,,,,,,,
,,,,,,,
dependent,,dependiente,,"as per the IRS, Publication 850",,,
,,,,,,,
,,,,,,,
deportable alien,,extranjero sujeto a la deportación / en condición deportable,,,,,
,,,,,,,
deportation,,deportación,,,,,
,,,,,,,
deportation order ,,orden de deportación,,,,,
,,,,,,,
deportation proceedings ,,proceso/diligencias de deportación,,,,,
,,,,,,,
deposition ,,declaración jurada,,,,,
,,,,,,,
derivative citizenship,,Naturalización por parentesco,,"It would appear that there is not a strong tendency towards universal naturalization and citizenship processes from one country to another, especially as regards the categorization of these processes. In the US we might talk about 'acquired' versus 'derivative' citizenthip; Mexico's main categories appear to be 'por nacimiento' and 'por naturalización', simple enough; both Spain and Guatemala have ciudadanía 'de orígen' (US' 'acquired'), but Spain also has 'recuperada', 'por opción', and 'por residencia'. None of those three countries has something that specifically appears to correspond to 'derivative' citizenship/naturalization. And whereas the concept of 'derivative' naturalization and 'derivative' status are corollaries in English, explaining naturalization as 'derivada' isn't particularly helpful or representative of the meaning of the English. In the context of 'derivative status', it's generally quite clear what's meant: the lead has the main case, the riders the secondary cases, and the riders are therefore derived from the lead. Hence I propose this solution for 'derivative citizenship', and a very different solution for 'derivative status'. Of course, if there is a better solution out there, it should be adopted! See 'Nationality and Status' reference for more.",,,
,,,,,,,
,,,,,,,
derivative status,,condición (migratoria) derivada (de…),,See 'derivative citizenship'.,,,
,,,,,,,
,,,,,,,
designation of country ,,designación/indicación de país,,,,,
,,,,,,,
DHS (Department of Homeland Security),,Departamento de Seguridad Nacional,,,,,
,,,,,,,
DHS no show,,"incomparecencia, no presentarse, no llamar, no responder a la falta de confirmación",,"The correct rendering of discussions of 'no-shows' depends greatly on context. For example, a respondent may not call or appear at check-ins or appointments; in such a context, it would be appropriate to talk about 'incomparecencia' or an elliptical phrase about 'no se presentó' or 'no llamó'; however, there is another context in which this phrase is often used, which is that surrounding final nonconfirmations, which are covered in depth here: https://www.e-verify.gov/e-verify-user-manual-30-case-results/36-final-nonconfirmation",,,
,,,,,,,
,,,,,,,
direct examination ,,interrogatorio directo,,,,,
,,,,,,,
discovery ,,"(fase) desahogo de pruebas, intercambio de pruebas; (conjunto de documentos) pruebas presentadas",,,,,
,,,,,,,
discretionary relief ,,amparo discrecional,,,,,
,,,,,,,
dismiss a charge ,,desestimar una imputación,,"If we are discussing NTA charges, then 'imputación'. This is also a good option in general, 'imputación' can be used for virtually all 'charges' in English legalese",,,
,,,,,,,
,,,,,,,
disposition of a case ,,la resolución de un caso o una causa,,,,,
,,,,,,,
diversion program,,programa alternativo,,,,,
,,,,,,,
diversity,,"diversidad; lotería de visas, visados de diversidad",,"As of April 2020, various US embassies (Ecuador, Paraguay, Equatorial Guinea, Argentina) refer to 'visas' or 'visados' 'de diversidad'.",,,
,,,,,,,
,,,,,,,
"docket, calendar",,"lista de casos, causas",,,,,
,,,,,,,
documentarily qualified,,cumplidos los requisitos documentales,,"This appears to be a phrase used by both the National Visa Center (NVC) and various consulates and embassies around the world. As defined in The Operation of the Immigrant Numerical Control System (state.gov): ""The applicant has obtained all documents specified by the consular officer as sufficient to meet the formal visa application requirements, and necessary processing procedures of the consular office have been completed.""",,,
,,,,,,,
,,,,,,,
documentary evidence ,,prueba documental,,,,,
,,,,,,,
DOJ (Department of Justice),,Departamento de Justicia,,As per the Department's website: https://www.justice.gov/espanol,,,
,,,,,,,
,,,,,,,
domestic violence,,Violencia doméstica / Violencia Intrafamiliar,,https://malostratos.org/wp-content/uploads/2017/09/Manual_de_Intervencion_Policial_Publicacion_de_la_CIMTM_rotado.pdf,,,
,,,,,,,
,,,,,,,
domicile,,domicilio,,,,,
,,,,,,,
DREAM Act,,la ley DREAM,,,,,
,,,,,,,
dual citizenship ,,ciudadanía doble,,,,,
,,,,,,,
due process ,,garantías procesales,,,,,
,,,,,,,
duration of status,,"duración, plazo de (la, su) condición (migratoria)",,"See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,,,,
EAD (Employment Authorization Document),,"Documento de Autorización de empleo, de trabajo",,,,,
,,,,,,,
effective legal counsel ,,(el derecho a la) tutela judicial efectiva,,https://ocw.uca.es/course/view.php?id=35,,,
,,,,,,,
,,,,,,,
eligibility ,,"cumplir, reunir los requisitos",,,,,
,,,,,,,
embassy,,embajada,,,,,
,,,,,,,
employer sanctions ,,sanciones contra empleadores,,,,,
,,,,,,,
employment,,empleo,,,,,
,,,,,,,
enter in the record ,,asentar en el acta,,,,,
,,,,,,,
entitled,,tener derecho a,,,,,
,,,,,,,
entitled to be admitted,,tener derecho a ser admitido,,,,,
,,,,,,,
entry,,entrada,,"We're dealing here with a series of interrelated terms: admit, enter, release, and ingresar, internar, introducir. Those last three have transitive meanings, though ingresar may also be used intransitively. Additionally, internar is the term of choice used by the Mexican Instituto Nacional de Migración for a usage corresponding to admission, but is very commonly collocated to a medical or penal context, which can quickly cause confusion. Therefore, in order to make a very clear distinction between someone entering -- of their own agency -- as opposed to being brought into the country, as well as for the conceptual simplicity of opting for calques to make it easier, entrar should be the preferential term here rather than ingresar or internar. ",,,
,,,,,,,
,,,,,,,
entry document ,,documento de entrada al país,,,,,
,,,,,,,
entry visa ,,"visa, visado de entrada",,,,,
,,,,,,,
entry without inspection (EWI),,entrar sin pasar por la inspección,,,,,
,,,,,,,
enumerated protected grounds ,,motivos enumerados protegidas por ley,,,,,
,,,,,,,
EOIR (Executive Office for Immigration Review),,Oficina Ejecutiva para la Revisión de Casos de Inmigración,,,,,
,,,,,,,
equities ,,factores positivos,,,,,
,,,,,,,
ESL,,"(USA) inglés como segunda lengua, (worldwide) inglés como lengua extranjera",,"In Spanish, the native formation to describe this concept is ""(name of language) como lengua extranjera""; for example, the Cervantes Institute's ""Diploma del Español como Lengua Extranjera"". However, due to the solid collocation within American English of ""English as a Second Language"", there is broad usage of ""inglés como segunda lengua"". Interestingly, ""idioma"" does not seem to be preferred when expressing this concept.",,,
,,,,,,,
,,,,,,,
establish eligibility as a refugee,,"demostrar, establecer que reune/cumple con/llena los requisitos de refugiado",,,,,
,,,,,,,
establish inadmissibility ,,demostrar inadmisibilidad,,,,,
,,,,,,,
evidence ,,(specific) prueba (abstract collective noun) evidencia,,,,,
,,,,,,,
"evidence, to take ",,"(police, collecting evidence) levantar pruebas (court, judge accepting exhibits) recibir pruebas",,,,,
,,,,,,,
evidentiary hearing ,,"audiencia, vista probatoria",,,,,
,,,,,,,
Ex Parte communication ,,comunicación ex parte,,"https://leyderecho.org/comunicaciones-ex-parte/ See excellent discussion of the topic from a comparative law standpoint here: http://www.camsantiago.cl/informativo-online/2019/MAR/docs/2019-03_Morales.pdf It would seem that it may not be a native concept per se in Hispanic law, but the Latinism seems acceptable and, in any case, is a term of art.",,,
,,,,,,,
,,,,,,,
examination of a witness ,,interrogatorio de un testigo,,,,,
,,,,,,,
examination of records ,,revisión del acta/documentos/del expediente,,,,,
,,,,,,,
examine a piece of evidence ,,examinar una prueba,,,,,
,,,,,,,
exceptional and extremely unusual hardship ,,adversidades/dificultades excepcionales y sumamente extraordinarias,,,,,
,,,,,,,
exceptional circumstances,,circunstancias excepcionales,,,,,
,,,,,,,
exchange visitor ,,visitante de intercambio,,As per USCIS and various Embassy websites.,,,
,,,,,,,
,,,,,,,
exchange visitor skills list,,"Lista de capacidades, habilidades de visitantes de intercambio",,This is a Department of State production. It doesn't appear to have a Spanish version: https://travel.state.gov/content/travel/en/us-visas/study/exchange/waiver-of-the-exchange-visitor/exchange-visitor-skills-list.html,,,
,,,,,,,
,,,,,,,
excludable,,sujeto a exclusión,,,,,
,,,,,,,
exclusion,,exclusión,,,,,
,,,,,,,
exclusion of witnesses,,incomunicación de los testigos (witnesses separated to avoid being influenced by others' testimony); exclusión de testigos (witnesses barred from testifying),,"The phrase 'exclusion of witnesses', in English, can refer to both the sequestration or separation of witnesses, wherein witnesses may not be present to hear other witness' testimony, as well as (generally in criminal court) to a witness being barred from testifying for whatever reason (prejudicial, etc). The latter meaning is expressed in Spanish as 'exclusión', the former as 'incomunicación'. See also 'separation', 'sequestration' of witnesses. ",,,
,,,,,,,
,,,,,,,
exclusion order ,,orden de exclusión,,,,,
,,,,,,,
exercise of discretion,,ejercer la discreción,,,,,
,,,,,,,
exhibit ,,elemento/artículo de prueba,,,,,
,,,,,,,
exit visa ,,visado de salida,,,,,
,,,,,,,
expedited hearing,,"audiencia, vista agilizada, sin demora",,,,,
,,,,,,,
expedited removal proceeding,,proceso de expulsión agilizado,,,,,
,,,,,,,
expert witness ,,perito,,,,,
,,,,,,,
extension of stay,,prórroga (de la estancia),,,,,
,,,,,,,
extreme and unusual hardship,,adversidades/dificultades extremas y extraordinarias,,,,,
,,,,,,,
extreme cruelty,,crueldad extrema,,,,,
,,,,,,,
extreme hardship,,adversidad/dificultad extrema,,,,,
,,,,,,,
factual allegations,,presunciones de hecho,,,,,
,,,,,,,
fact witness,,testigo directo,,"Keep in mind that in Spanish, a testigo directo is someone who has first-hand knowledge of the facts to which the witness is testifying. Someone who can testify to facts, but not necessarily to the facts in question, would be a testigo de referenciaor a testigo indirecto.",,,
,,,,,,,
,,,,,,,
"Family 1st, 2nd, etc. Preference",,"Familiar de 1er, 2º, etc., Preferencia",,This refers to a USCIS ranking system through which family members get preference in the granting of visas.,,,
,,,,,,,
,,,,,,,
family ties ,,vínculos familiares,,,,,
,,,,,,,
Family Unity Program,,Programa de Unidad Familiar,,,,,
,,,,,,,
Federal Poverty Guidelines/Poverty Guidelines,,línea de pobreza,,"The 'poverty guidelines' are a simplified version of the 'poverty thresholds' and 'poverty guidelines' (umbrales de pobreza and líneas de pobreza, as per Trudi Renwick, Assistant Division Chief, Economic Characteristics Social, Economic and Housing Statistics Division) used for administrative purposes (see HHS' website on the poverty guidelines, updated each year). Línea de pobreza is recommended as an intuitive term in Spanish that communicates the concept and is in use in Spanish in the United States by the Census Bureau to denominate a corollary figure.",,,
,,,,,,,
,,,,,,,
fee waiver request ,,petición de exención de pago,,Example here: https://www.gob.mx/inm/acciones-y-programas/programa-temporal-de-regularizacion-migratoria-90502,,,
,,,,,,,
,,,,,,,
fee it in,,"pagar la cuota, el cobro, el costo (de la solicitud)",,,,,
,,,,,,,
fance of U.S. citizen ,,"novio/a, prometido/a de ciudadano estadounidense",,,,,
,,,,,,,
Field Offices,,"oficina, sucursal del Servicio de Ciudadania e Inmigración de los Estados Unidos",,"This is the term that USCIS uses to refer to its offices wherein non-asylum interviews, naturalization ceremonies, and more case-by-case services are provided.",,,
,,,,,Field Office Director? From Nestor's materials: You must post the bond in the amount of $500 within 5 days of this hearing with the ICE field officer director.,,
,,,,,,,
file a motion ,,presentar una petición,,,,,
,,,,,,,
final decision ,,decisión final,,"The ACNUR manual consistently gives 'decisión final' for 'final decision', pp. 105, 120, 121, all of which refer to the determination of refugee status.",,,
,,,,,,,
,,,,,,,
final order ,,orden final,,definitiva? Ejecutoriada?,,,
,,,,,,,
,,,,,,,
"finding, make a ",,"emitir un fallo, hacer una determinación (asylum officer) dictamen, determinación",,,,,
,,,,,,,
fingerprints are stale/current/up-to-date/clear,,"las huellas digitales, dactilares no están vigentes/están inactivas/actualizadas/al día/limpias",,,,,
,,,,,,,
firmly resettled,,firmemente restablecido,,,,,
,,,,,,,
flight risk (considered) ,,"se le considera, estima, que representa, un riesgo de fuga",,"The ACNUR manual consistently gives 'huida' for flight (p. 114, p.ej.); notably in that same citation, the Spanish omits the English 'relocation alternative', which speaks to the difficulty of transferring ""relocation"" from English to Spanish. However, this is referring to the 'flight' of persons from one territory to another to escape some sort of persecution or civil strife. When referring to a prisoner or defendant fleeing justice, the collocation in Spanish seems to be fuga. See, for example, Sentencia de Casación No. 1640-2019/Nacional, Supreme Court of Peru.",,,
,,,,,,,
,,,,,,,
FOIA,,Ley de Libertad de Información,,Según www.usa.gov/espanol/,,,
,,,,,,,
,,,,,,,
Foreign Government Official,,funcionario gubernamental oficial,,,,,
,,,,,,,
Foreign Information Media Representative,,Representante de Medios Informativos Extranjeros,,,,,
,,,,,,,
forensic document analysis,,Análisis forense de documentos,,,,,
,,,,,,,
Forensic Document Analysis Laboratory ,,Laboratorio de análisis forense de documentos,,"It's the analysis that's forensic, not the lab",,,
,,,,,,,
,,,,,,,
Form I-294 - Advisal of rights ,,"Notificación, aviso de derechos",,,,,
,,,,,,,
forms of relief,,tipos de amparo,,,,,
,,,,,,,
forum,,"fuero, (lower register: tribunal)",,see venue,,,
,,,,,,,
,,,,,,,
fraud and misrepresentation ,,"engaño y representación falsa, representación inexacta, tergiversación",,"This refers to section 212(a)(6)(C)(i) of the INA: ""Any alien who, by fraud or willfully misrepresenting a material fact, seeks to procure (or has sought to procure or has procured) a visa, other documentation, or admission into the United States or other benefit provided under this Act is inadmissible."" Consider the breadth of the meaning of 'fraud' in this context. See 'Fraud' reference for more.",,,
,,,,,,,
,,,,,,,
fraudulent documents,,documentos fraudulentos,,,,,
,,,,,,,
fraudulent visa ,,visado fraudulento,,,,,
,,,,,,,
Freedom of Information Act (FOIA),,Ley de Libertad de Información,,Según www.usa.gov/espanol/,,,
,,,,,,,
,,,,,,,
frivolous asylum application,,solicitud de asilo falsa / que contiene falsedades,,"There is a significant body of debate amongst EOIR staff interpreters regarding how to render this term, with good reason. 'frivolous' has a meaning in US legal English, and it's not exactly the same as the meaning used here. Some interpreters staunchly defend a literal translation, insisting that the IJs should provide a clarification, through the Frivolous Warning, for example, of what a 'solicitud frívola' would be. It would be easy to go too far in the other direction, as well, and start 'explaining' too much of what is meant. What is provided here is what was suggested as a middle way in the Staff Interpreters' 2019 Teleconference.",,,
,,,,,,,
,,,,,,,
frivolous warning,,aviso contra la tramitación de solicitudes de asilo falsas,,,,,
,,,,,,,
full and fair hearing ,,audiencia completa e imparcial,,,,,
,,,,,,,
full and final adoption,,"adopción plena y final, finalizada",,"This phrase means that 'the legal process (of adoption) is fully completed and the law accords the adopted child all of the rights of a natural born, legitimate child' (MH). USCIS provides us with 'adopción plena y final' (https://www.uscis.gov/es/adopciones/inmigracion-por-medio-de-la-adopcion/otras-instancias-de-inmigracion-por-adopcion), and the Mexican Embassy gives us 'adopción plena': https://mx.usembassy.gov/es/visas-es/adopciones/ While international adoption is governed by various agreements -- the Hague convention of 1993, the UN Convention on the Rights of the Child -- neither of those texts refer to 'full and final' adoption.",,,
,,,,,,,
,,,,,,,
,,,,,,,
GED,,Certificado GED,,"This stands for General Educational Development Test. It would seem that they don't translate the name of it; the acronym is a copyright and a proper noun: https://ged.com/es/ So, 'certificado GED' is probably the best option, as that's how it's referred to in Spanish.",,,
,,,,,,,
,,,,,,,
gender related persecution,,"Persecución basada en, por motivo del género",,"ACNUR manual, various pages and entries",,,
,,,,,,,
,,,,,,,
General Naturalization Provisions,,Disposiciones Generales de Naturalización,,,,,
,,,,,,,
good moral character (person of) ,,"(persona de) solvencia moral, buen carácter moral",,"This is a term of art that is heard throughout Immigration proceedings in the US, but is part of the respondent's burden in 42-B Cancellation proceedings. As discussed in the entry for 'moral character', 'carácter moral' is technically acceptable, and therefore 'buen carácter moral' is an acceptable approximation to the English. 'solvencia moral' is an alternate phrase, shorter, and perhaps more conceptually clear. See also 'moral character'.",,,
,,,,,,,
,,,,,,,
government (the) ,,"el gobierno, por parte del gobierno, representante del gobierno",,See 'Trial Attorney'.,,,
,,,,,,,
,,,,,,,
government benefits,,"programas sociales, ayudas sociales",,"As per www.usa.gov/espanol, 'Programas sociales del Gobierno'",,,
,,,,,,,
,,,,,,,
government exhibits,,elemento(s) de prueba del Gobierno,,"See discussion surrounding 'Trial Attorney'. It is good to keep in mind that the relationship between Court, DHS counsel, and respondent's counsel, while still adversarial, is not an exact corollary to the criminal adversarial system.",,,
,,,,,,,
,,,,,,,
Grand Jury ,,"gran jurado; jurado indagatorio, acusatorio; jurado de instrucción",,"The concept of a 'grand jury' is one that pertains to Anglo-Saxon common law. As such, various renderings are possible that express the concept to varying degrees of clarity depending on the target dialect or region. The 'jury' part of the phrase is most certainly 'jurado'; 'gran jurado' may well be an adequate choice, given that the phrase in English, ""grand jury"", is at this point a term of art that does not have an inherent meaning unless the listener has previously learned and understood it. 'jurado indagatorio' or 'jurado acusatorio' may well be good middle-of-the-road options, which provide a certain amount of explaining, are dialect neutral, and offer two distinct levels of register. If, however, you are sure of the listener's geographical dialect, you could opt for 'jurado de instrucción' if the listener is from any number of countries which still employs (or employed in the recent past) the figure of jueces de instrucción-- for example, Colombia, Ecuador, Spain, Bolivia, or Mexico (as per the Criminal Codes of each one of those respective nations).",,,
,,,,,,,
,,,,,,,
grant,,"conceder/concesión, otorgar/otorgamiento",,,,,
,,,,,,,
green card,,"tarjeta verde, tarjeta de residente permanente, 'mica' (Mex.)",,,,,
,,,,,,,
Gross Sexual Imposition (GSI),,Abuso sexual (lesser included/not rising to the level of rape or violence); agresión sexual (involved violence or aggravating factors); abusos deshonestos (involving a minor of 13 years or less),,See 'Sex Crimes' reference for more.,,,
,,,,,,,
,,,,,,,
grounds for removal ,,"indicios, fundamento, base para la expulsión, de expulsabilidad",,"In general, 'fundamento' and 'base' are both generic terms, and 'fundamento' in particular is often seen in describing the broad foundations of entire fields of law. 'indicios', meanwhile, means both grounds in the normal sense in English, of ""The reason or point that something (as a legal claim or argument) relies on for validity,"" (Black's) as well as often referring more specifically to the evidence which provides those grounds--pruebas indiciarias--and even to those pieces of evidence which support an evidence-based decision (prueba plena); this is not inconsistent with our usage of grounds in English, for example, ""I see sufficient grounds to grant the divorce."" See Ossorio and the DEJ Panhispánico for more discussion.",,,
,,,,,,,
,,,,,,,
grounds of inadmissibility ,,"indicios, fundamento, base de inadmisibilidad",,,,,
,,,,,,,
hardship waiver ,,exención por adversidades/dificultades,,Esto es exención. Veáse: https://www.gob.mx/inm/acciones-y-programas/programa-temporal-de-regularizacion-migratoria-90502,,,
,,,,,,,
,,,,,,,
hardship waiver to a qualifying relative,,exención por adversidades/dificultades,,,,,
,,,,,,,
having been found removable,,"tras decidir, fallar, resolver que está sujeto/a a, objeto de, la expulsión, expulsable",,,,,
,,,,,,,
head of household,,cabeza de familia,,"Diccionario del Español Jurídico, RAE; IRS publication 850",,,
,,,,,,,
,,,,,,,
hearing ,,audiencia,,,,,
,,,,,,,
hearing on the application ,,"audiencia sobre la solicitud, audienca sobre los fondos",,,,,
,,,,,,,
home country,,país natal,,de origen?,,,
,,,,,,,
,,,,,,,
homeless,,"persona sin hogar, persona sin techo",,"sin hogar, sin techo…",,,
,,,,,,,
,,,,,,,
household income,,ingresos de la unidad familiar,,"IRS Publication 850, pp. 11",,,
,,,,,,,
,,,,,,,
household member,,miembro de la unidad familiar,,Check IRS,,,
,,,,,,,
,,,,,,,
human trafficking,,trata de personas,,what about that whole 'trata de blancas' thing?,,,
,,,,,,,
,,,,,,,
IBIS,,Sistema de Inspección Fronteriza Interinstitucional,,"The Interagency Border Inspection System is a database to which numerous Federal agencies have access, and contribute information, with the purpose of sharing law enforcement and safety information.",,,
,,,,,,,
,,,,,,,
ICE (U.S. Immigration and Customs Enforcement),,"Servicio de Control de Inmigración y Aduanas; ""el ICE""",,"As per usa.gov en español. Anecdotal experience indicates that many respondents before the EOIR will refer to them as ""ICE"".",,,
,,,,,,,
,,,,,,,
IIRIRA ,,(Ley de) Reforma de migración ilegal y de responsabilidad del migrante,,"The Illegal Immigration Reform and Immigrant Responsibility Act. An interesting resource, though terminologically problematic at times: https://www.law.cornell.edu/wex/es/leyes_predominantes_que_afectan_la_inmigraci%C3%B3n_y_naturalizaci%C3%B3n",,,
,,,,,,,
,,,,,,,
illegal alien,,extranjero ilegal,,"We have in both Spanish and English a wide variety of options to express shades of meanings surrounding status. If the speaker says ""illegal"", we can say ""ilegal"". If the speaker says ""undocumented"", we can say ""indocumentado""; ""without papers"", ""sin papeles""; ""without status"", ""irregular"", ""sin condición (migratoria) legal"". The important thing is that we don't put our own spin on what the speaker says. See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,,,,
illegal re-entry of alien after deportation,,entrada de nuevo de un extranjero previamente expulsado,,,,,
,,,,,,,
immediate relatives,,"familiares; parientes, familiares inmediatos",,"USCIS says 'familiares inmediatos'. Other sources (A House of My Own, p. 115) would seem to suggest that 'familiares' itself would be equivalent to what is meant by the English 'Immediate Relatives', while 'pariente' indicates less immediate relations.",,,
,,,,,,,
,,"visado de residente, inmigrante",,"A number of Spanish-speaking countries offer 'visa(do)s de residencia' which are equivalent to what the US' system refers to as immigrant visas. However, USCIS' and the DOS' terminology broadly uses 'inmigrante', so that usage will be encountered.",,,
immigrant visa,,,,,,,
,,,,,,,
Immigration Act of 1990,,Ley de Inmigración del 1990,,,,,
,,,,,,,
Immigration and Nationality Act,,Ley de Inmigración y Nacionalidad,,,,,
,,,,,,,
Immigration Court,,"Tribunal de lo migratorio, inmigración",,,,,
,,,,,,,
immigration inspection ,,"inspección, control de migración, migratorio",,,,,
,,,,,,,
Immigration Judge,,Juez de lo migratorio,,,,,
,,,,,,,
Immigration Marriage Fraud Amendments of 1986,,"Enmiendas Migratorias, a la Inmigración por Matrimonios Falsos del 1986",,"The English is awkward; see entry under 'marriage fraud' for more. There is a grammatical difficulty due to 'marriage fraud' being a noun phrase in English, whereas its equivalent in Spanish is 'matrimonio falso', a noun with an adjective. Additionally, an interesting resource: https://www.law.cornell.edu/wex/es/leyes_predominantes_que_afectan_la_inmigraci%C3%B3n_y_naturalizaci%C3%B3n",,,
,,,,,,,
,,,,,,,
immigration officer,,funcionario de inmigración,,See discussion under 'officer/official'.,,,
,,,,,,,
,,,,,,,
Immigration Reform and Control Act of 1986 (IRCA),,"Ley de Reforma y Control Migratorio, de Inmigración del 1986",,An interesting resource: https://www.law.cornell.edu/wex/es/leyes_predominantes_que_afectan_la_inmigraci%C3%B3n_y_naturalizaci%C3%B3n,,,
,,,,,,,
,,,,,,,
immigration status,,condición migratoria,,"See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,"See 2017 Manual de ACNUR, pp. 88, 94, 95, many more",,,
immutable characteristics ,,características inmutables,,,,,
,,,,,,,
impeachment evidence,,pruebas de impugnación,,,,,
,,,,,,,
