english,english-definition,spanish,spanish-definition,comments,proposals
Merit(s),,Mérito(s),,,
,,Fondo,,,
Best of your knowledge,,A su leal saber y entender,,,
ennumerated grounds (for asylum),,"motivo, motivos",,"As per UNHCR Handbook on Procedures, pp. 21 b) 53, 22 d) 59, 23 b) 69",
,,evidencia,,,
bear the burden,,,,,
evidence of equal probative weight,,pruebas que tienen un peso probativo igual,,"""Where the evidence is of equal probative weight, the party having the burden of proof cannot prevail."" The Shifting Burdens of Immigration Law, p. 6",
it should be granted in exercise of discretion,,se debe de conceder en el ejercicio de la discreción,,"The Shifting Burdens of Immigration Law, p. 6",
presumed to have a well-founded fear of persecution on the basis of the original claim,,"se le presumirá tener un temor fundado de la persecución basado en las pretensiones, la solicitud original",,"The Shifting Burdens of Immigration Law, p. 8",
it shall be presumed that internal relocation would not be reasonable,,se presumirá que la reubicación dentro del país no sería razonable,,"presumption of unreasonableness of internal relocation due to government or government-sponsored persecution, The Shifting Burdens of Immigration Law, p. 9",
it shall be presumed that the applicant's life or freedom would be threatened in the future in the country of removal on the basis of the original claim,,se presumirá que la vida o la libertad del solicitante se vería amenazada en el futuro en el país de expulsión basado en las pretensiones originales,,"presumption of future persecution based on a finding of past persecution, The Shifting Burdens of Immigration Law, p. 10",
beyond a reasonable doubt,,mas allá de toda duda razonable,,http://www.secretariasenado.gov.co/senado/basedoc/ley_0906_2004.html  http://hj.tribunalconstitucional.es/es-ES/Resolucion/Show/4818,
clear and convincing evidence,,pruebas claras y convincentes,,various standards throughout immigration proceedings,
"clear, unequivocal, and convincing evidence",,"pruebas claras, inequívocas y convincentes",,various standards throughout immigration proceedings,
give rise to a rebuttable presumption,,dar lugar a una presunción refutable,,various standards throughout immigration proceedings,
to substantiate a claim,,"sustentar, fundamentar una pretensión, solicitud",,Various standards throughout immigration proceedings. See discussions in general terms list regarding 'claim' vs 'application'.,
preponderance of credible evidence,,"una preponderancia de prueba, evidencia creíble ",,"alien's burden to prove a claim to US citizenship; The Shifting Burdens of Immigration Law, p. 2",
"reasonable, substantial, and probative evidence",,"pruebas razonables, considerables y probatorias",,"standard for deportability, The Shifting Burdens of Immigration Law, p. 3",
highly probably true,,con alto grado de certeza,,"BIA's description of clear and convincing evidence, The Shifting Burdens of Immigration Law, p.3",
clearly and beyond a doubt,,claramente y sin lugar a duda,,"alien's burden to prove admissibility, The Shifting Burdens of Immigration Law, p. 3",
without reasonable cause,,sin motivo razonable,,"standard for proceeding in absentia, The Shifting Burdens of Immigration Law, p. 5",
to the satisfaction of the Attorney General,,"a la satisfacción del Procurador, Fiscal General",,"standard for alien to prove they are not subject to exclusion under the Act, The Shifting Burdens of Immigration Law, p. 5. See discussion under 'Attorney General' in general terms list.",
"applicant has a ""colorable"" claim to status",,"el, la solicitante tiene derecho aparente, parece tener derecho a una condición migratoria legal",,"Exception to the alien bearing the burden of proof that they are not subject to exclusion, The Shifting Burdens of Immigration Law, p. 5. ",
strict and exact,,estricto y exacto,,"Government's burden to prove expatriation, The Shifting Burdens of Immigration Law, p.6",
preponderance of the evidence,,preponderancia de la prueba,,"In general, the standard for ""...a petitioner or applicant to prove that he or she is eligible for the benefit sought"". The Shifting Burdens of Immigration Law, p.6",
"demonstrate that the applicant's claim is ""probably true""",,"demostrar que la solicitud, las pretensiones del (la) solicitante es (son) ""probablemente verdadera(s)""",,"Matter of Chawathe, 25 I&N Dec. 369 (AAO 2010), definition of the ""preponderance of the evidence"" standard. The Shifting Burdens of Immigration Law, p. 7",
"credible, is persuasive, and refers to specific facts",,"creíble, es persuasiva, y hace referencia a hechos específicos",,"REAL ID standard to determine whether the applicant's testimony has satisfied burden of proof. Also, the standard as per REAL ID to establish refugee status through testimony alone. The Shifting Burdens of Immigration Law, p. 7",
demonstrate(s) that the applicant does not have the evidence and cannot reasonably obtain the evidence,,demuestra(n) que el (la) solicitante no tiene las pruebas y no las podría conseguir de manera razonable,,"REAL ID standard for the exception to provide corroborating evidence for otherwise credible testimony. The Shifting Burdens of Immigration Law, p. 7",
"To the satisfaction of the asylum officer, the immigration judge, or the Board that he or she qualifies for an exception to the 1-year deadline based on changed circumstances or extraordinary circumstances. ",,"a la satisfacción del oficial de asilo, el juez de lo migratorio, o a la Junta que el o ella cumple con los requisitos para una excepción a la fecha límite de 1 año basado en circunstancias cambiadas o extraordinarias.",,"8 CFR 1208.4(a)(2); Matter of F-P-R-, I&N Dec. 681 (BIA 2008), standard for proving an exception to the 1-year asylum filing rule. The Shifting Burdens of Immigration Law, p. 8",
"…a preponderance of the evidence a fundamental change in circumstances such that the applicant no longer has a well-founded fear of persecution or that the applicant could avoid future persecution by relocating to anoher part of the alien's country and, under all the circumstances, it would be reasonable to expect the applicant to do so.",,"…una preponderancia de las pruebas que haya un cambio fundamental en las circunstancias tal que el o la solicitante ya no tenga temor fundado de la persecución o que el o la solicitante podría evitar pèrsecución en el futuro al reubicarse a otra parte del país del extranjero y, tomando en cuenta todas las circunstanciass, sería razonable esperar que así lo haga el o la solicitante.",,"Government's burden to rebut the presumption of a well-founded fear of future persecution, The Shifting Burdens of Immigration Law, p. 8",
establish that the fear is well-founded,,"demostrar, establecer que el temor está fundado",,"applicant's burden in case the fear of future persecution is unrelated to past persecution, The Shifting Burdens of Immigration Law, p. 8",
"demonstrate compelling reasons for being unwilling or unable to return to the country arising out of the severity of the past persecution, or the application has established that there is a reasonable possibility that he or she may suffer other serious harm upon removal to that country.",,"demostrar, establecer motivos convincentes por no estar dispuesto o capaz de volver al país que surjan de la severidad de la persecución en el pasado, o que el (la) solicitante ha establecido, demostrado que exista una posibilidad razonable que el o ella podría sufrir de otros daños graves al ser expulsado(a) a ese país.",,"8 CFR 1208.13(b)(1)(iii), applicant's burden to overcome the Government's rebuttal of the presumption of well-founded fear, The Shifting Burdens of Immigration Law, p. 9. See 'compelling evidence' in general terms list.",
"establishing that it would not be reasonable for him or her to relocate, unless the persecution is by a government or is government-sponsored",,"establecer, demostrar que no sería razonable que el o ella se reubicara dentro del país, salvo que la persecución la lleve a cabo un gobierno o por parte del gobierno",,"applicant's burden to establish unreasonableness of internal relocation, unless there is past persecution or persecution is by a government or is government-sponsored, The Shifting Burdens of Immigration Law, p. 9",
"establish by a preponderance of the evidence that, under all the circumstances, it would be reasonable for the applicant to relocate",,"establecer, demostrar, probar por medio de una preponderancia de la prueba que, al tomar en cuenta todas las circunstancias, sería razonable que el o la solicitante se reubíque dentro del país",,"Government's burden to overcome presumption of unreasonableness of internal relocation in case of government or government-sponsored persecution. The Shifting Burdens of Immigration Law, p. 9",
prove by a preponderance of the evidence that he or she did not so act,,probar por medio de una preponderancia de la prueba que el o ella no actuó de tal manera,,"applicant's burden to overcome evidence indicating that a mandatory denial ground may apply; The Shifting Burdens of Immigration Law, p. 9",
"prove by a preponderance of the evidence that there has been a fundamental change in circumstances such that the applicant's life or freedom would not be threatened on a protected ground or that the applicant could avoid a future threat to his or her life or freedom by relocating to another part of the proposed country of removal and, under all the circumstances, it would be reasonable to expect the applicant to do so.",,"probar por medio de una preponderancia de la prueba que ha habido un cambio fundamental en las circunstancias tal que la vida o libertad del solicitante o la solicitante no se vería amenazada basado en un criterio protegido por ley o que el o la solicitante podría evitar amenazas en el futuro contra su vida o libertad al reubicarse a otra parte del país propuesto para su expulsión y, tomando en cuenta todas las circunstancias, sería razonable esperar que así lo haga el o la solicitante.",,"Government's burden to overcome presumption of future persecution based on a finding of past persecution, The Shifting Burdens of Immigration Law, p. 10",
by a preponderance of the evidence that (1) there was fraud in the alien's asylum application and (2) the fraud was such that the alien was not eligible for asylum at the time it was granted,,por medio de una preponderancia de la prueba que (1) hubo fraude en la solicitud de asilo del extranjero y (2) el fraude fue tal que el extranjero no reunía los requisitos para el asilo en el momento en que se concedió,,"DHS' burden in termination of a grant of asylum; The Shifting Burdens of Immigration Law, p. 10",
"the burden of proof is on the applicant for withholding of removal under the Convention Against Torture to establish that it is more likely than not that he or she would be tortured, if removed to the proposed country of removal.",,"la carga de la prueba le incumbe a, recae sobre el o la solicitante de suspensión de la expulsión conforme con el Convenio contra la Tortura para establecer, probar que sea más probable que no que el o ella sería torturado/a, si es expulsado/a al propuesto país de expulsión.",,"Applicant's burden to prove probability of torture under CAT; The Shifting Burdens of Immigration Law, p. 11",
The burden of proof is on the applicant to establish by a preponderance of the evidence that he or she is eligible for suspension of deportation or special rule cancellation of removal and that discretion should be exercised to grant relief.,,"La carga de la prueba le incumbe a, recae sobre el o la solicitante para probar, por medio de una preponderancia de la prueba, que el o ella reúna los requisitos para la suspensión de la deportación o cancelación de la expulsión según la regla especial y que se deba de ejercer la discreción para otorgar el amparo.",,"Applicant's burden for Section 203 of NACARA; The Shifting Burdens of Immigration Law, p. 11",
to establish that it is more likely than not that neither the applicant nor a qualified relative would suffer extreme hardship if the applicant were deported or removed from the United States.,,"establecer, probar que sea más probable que no que ni el o la solicitante ni un familiar que reúna los requisitos sufriría adversidades, dificultades extremas si el o la solicitante fuera deportado/a o expulsado/a de los Estados Unidos.",,Government's burden to overcome presumption of qualified Salvadoran and Guatemalans' applications for Section 203 of NACARA,
a heavy burden of showing new evidence would likely chang the result in the case; a reasonable likelihood of success on the merits,,una carga de la prueba pesada de demostrar que pruebas nuevas probablemente cambiarían el resultado del caso; una probabilidad razonable de éxito sobre los méritos del caso,,"Alien's burden for a motion to reopen, depending on circumstances; The Shifting Burdens of Immigration Law, p. 14",
"establish to the satisfaction of the Immigration Judge that he or she does not present a danger to persons or property, is not a threat to national security, and does not pose a risk of flight.",,"establecer, probar a la satisfacción del Juez de lo Migratorio que el o ella no represente un peligro a las personas o la propiedad, no representa una amenaza a la seguridad nacional, y no representa un riesgo de fuga.",,"Standard for granting redetermination of custody, The Shifting Burdens of Immigration Law, p. 15",
must also satisfy the Attorney General that he or she will not pose a danger to the safety of other persons or of property and is likely to appear for hearings.,,"también debe probar a la satisfacción del Procurador, Fiscal General que el o ella no representará un peligro a la seguridad de otras personas o de la propiedad y tiene probabilidad de comparecer para sus audiencias.",,"Alien's burden to prove an exception under section 236(c)(2), The Shifting Burdens of Immigration Law, p. 16",
"show that the Government was ""substantially unlikely to establish"" the charges that rendered the alien subject to mandatory detention.",,"mostrar que para el Gobierno sería ""bastante difícil probar"" las imputaciones migratorias que hicieron que el extranjero fuera sujeto a detención obligatoria. ",,"Alien's burden to prove that they are not subject to mandatory detention under section 236(c)(1), The Shifting Burdens of Immigration Law, p. 16",
battery or extreme cruelty,,golpes o crueldad extrema,,Special Rule 42B VAWA Cancellation,
