english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
,,,,,
resolution,"1. Parliamentary law. A main motion that formally expresses the sense, will, or action of a deliberative assembly (esp. a legislative body). - A resolution is a highly formal kind of main motion, often
containing a preamble, and one or more resolving clauses in the form, ""Resolved, That ...."" 2. Formal action by a corporate board of directors or other corporate body authorizing a particular act,
transaction, or appointment. - Also termed corporate resolution. 3. A document containing such an expression or authorization.",resolución," 2. Int. púb. Acto adoptado por una organización internacional, vinculante o no, según las normas constitutivas de cada organización y según los términos del acto en particular. Véase también 'disposition'.",,
disposition,2. A final settlement or determination <the court's disposition of the case>.,resolución; resolución judicial,"(resolución judicial) Proc. Acto de decisión de un juez o de un tribunal, consistente en la aplicación mediante una operación lógica del derecho objetivo (material o procesal) a una condición de hecho que previamente se considera dada.  (resolución) 1. Gral. Decisión, acuerdo, acto administrativo, instrucción, providencia, auto o fallo de autoridad gubernativa o judicial. 2. Int. púb. Acto adoptado por una organización internacional, vinculante o no, según las normas constitutivas de cada organización y según los términos del acto en particular. 3. Gral. Acción de resolver.",,
writ,"A court's written order, in the name of a state or other competent legal authority, commanding the addressee to do or refrain from doing some specified act. [Cases: Injunction (;=202.] ""[W]rits have a long history. We can trace their formal origin to the Anglo-Saxon formulae by which the king used to communicate his pleasure to persons and courts. The Anglo-Norman writs, which we meet with after the
Conquest, are substantially the Anglo-Saxon writs turned into Latin. But what is new is the much greater use made of them, owing to the increase of royal power which came with the Conquest."" W.S. Holdsworth, Sources and Literature
of English Law 20 (1925).","mandamiento, orden","(mandamiento) 1. Pen. Acto de comunicación por el que el órgano judicial ordena la práctica de algún acto o diligencia a sujetos determinados. ""Para ordenar el libramiento de certificación o testimonio y la práctica de cualquier diligencia judicial, cuya ejecución corresponda a registradores de la propiedad, notarios, auxiliares o subalternos de juzgados o tribunales y funcionarios de policía judicial que estén a las órdenes de los mismos, se empleará la forma de mandamiento"" (LECrim, art. 186) 2. Proc. Forma que adopta la petición de un órgano judicial a otro de grado inferior para que ejecute una diligencia judicial. (orden) 1. Gral. Forma que revisten algunas decisiones administrativas, como las dictadas por un ministro o un consejero autonomico. 2. Gral. Relación de asuntos. 3. Gral. Mandato dictado por una autoridad judicial o administrativa. 4. Preferencia, preeminencia, jerarquía. (Acepciones 5 y 6 tienen que ver con usos militares y bursátiles).",,
,,,,,
SECOND INSTANCE (APPEAL),,"SEGUNDA INSTANCIA (RECURSO DE APELACIÓN, APELACIÓN)",,,
affirm,"1. To confirm (a judgment) on appeal. • Sometimes, the verb is used without a direct object <We affirm>. The equivalent expression in British English is to deny the appeal. [Cases: Appeal and Error ~ 1124-1145; Criminal Law ~ll82; Federal Courts 926.] 2. To solemnly declare rather than swear under oath. 3. To testify or declare by affirmation.","declarar firme (la resolución recurrida o apelada), declarar haber lugar","(sentencia firme) Adm. Sentencia contra la que no cabe interponer recurso alguno, bien por no preverlo la ley, bien porque, estando previsto, ha transcurrido el plazo legalmente fijado sin que ninguna de las partes lo haya presentado.",Excellent explanations here: https://www.iberley.es/temas/recurso-apelacion-orden-civil-54181,
binding,"1. (Of an agreement) having legal force <a binding contract>. 2. (Of an order) requiring obedience <the temporary injunction was binding on the parties>.  binding authority. 1. See binding precedent under PRECEDENT.  binding precedent. (I7c) A precedent that a court must follow.• For example, a lower court is bound by an applicable holding of a higher court in the same jurisdiction. - Also termed authoritative precedent; binding authority. Cf. imperative authority under AUTHORITY (4). [Cases: CourtsC--:::>88, 107.) 2. See imperative authority under AUTHORITY  imperative authority. Authority that is absolutely
binding on a court. - Also termed binding authority. Cf. binding precedent under PRECEDENT.",vinculante,Gral. Que es de acatamiento obligatorio.,,
brief,"1. A written statement setting out the legal contentions of a party in litigation, esp. on appeal; a document prepared by counsel as the basis for arguing a case, consisting oflegal and factual arguments and
the authorities in support of them. Also termed legal brief; brief of argument.",escrito,"1. Gral. Documento escrito. 2. Proc. Escrito de parte procesal para formalizar demanda, contestación, recurso, etc. 3. Adm. Documento por medio del cual alguien se dirige formalmente a la Administración, ya sea para formular una solicitud, interponer un recurso administrativo o formalizar cualquier trámite para el que haya sido emplazado y deba realizarse por escrito.",Note that definitions for different types of 'briefs' cover a full page of Black's.,
dismiss (an appeal),"dismiss, vb. 1. To send (something) away; specif., to terminate (an action or claim) without further hearing,
esp. before the trial ofthe issues involved. 2. To release
or discharge (a person) from employment. See DISMISSAL.",desestimar,Adm. Y Proc. Denegar una pretensión mediante sentencia u otra resolución judicial o administrativa.,"Note the difference between 'desestimar' and 'sobreseimiento' as per the DEJ of the RAE: 'desestimar' appears to imply a finding or decision, whereas 'sobreseimiento', explicitly, no produce efectos de cosa juzgada. This loops back into conversations surrounding with prejudice or without prejudice.",
,,sobreseimiento,Proc. Terminación anormal del proceso que conlleva la conclusión eventual del mismo y el archivo de las actuaciones. No produce efectos de cosa juzgada.,,
"summary judgement, summary dismissal","summary judgment. (18c) A judgment granted on a
claim or defense about which there is no genuine issue
ofmaterial fact and upon which the movant is entitled
to prevail as a matter oflaw .• The court considers the
contents of the pleadings, the motions, and additional
evidence adduced by the parties to determine whether
there is a genuine issue of material fact rather than
one of law. This procedural device allows the speedy
disposition ofa controversy without the need for trial.
Fed. R. Civ. P. 56. Also termed summary disposition;
judgment on the pleadings. See JUDGMENT.",desestimación anticipada,,"When an appeal is filed, opposing counsel generally files a motion for dismissal. This is, in many contexts, often referred to as a 'motion for summary judgment', and is often brought during trial, after a party has rested, as a way of pre-empting the remainder of the trial and asking the Judge to make a finding that said party has been unable to sustain their burden. A motion for summary dismissal is slightly different, in that it is made at the very beginning of a process (generally civil, administrative, or appellate), one could say before the process has already begun, and asks the appellate authorities to throw the case out due to legal or factual insufficiency. This is similar, but distinct in an important way, from a process that in Spanish is known as 'inadmisión a trámite'. In Spanish-language jurisdictions, commonly there is someone who has the authority (often a secretario judicial) and responsibility of deciding whether a case is admitted, or not, to the judicial process; this person makes a prima facie decision regarding jurisdiction and legal sufficiency, and either lo admite a trámite or lo inadmita a trámite. However, there is a fundamental difference here, because the person making the decision is the judicial authority itself, it is Court staff making a unilateral decision; a summary dismissal is action taken by the Court at the behest of counsel, already within the adversarial framework.",
